address,city,price,sqft,lot_sqft,lot_sqft_ratio,existing_adu,Jurisdiction,Description,New_Class,has_zoning,jurisdiction_type
1798 Walnut Grove Ave,San Jose,1299000,1261.0,6700.0,5.313243457573354,0,San Jose,R-1-8,Suburban residential,True,Incorporated
11781 Lamplighter St,Garden Grove,1098000,1119.0,6200.0,5.540661304736372,0,Garden Grove,Single-Family Residential Zone,Suburban residential,True,Incorporated
1107 N 4th St,San Jose,1219000,1140.0,6850.0,6.008771929824562,1,San Jose,R-2,Urban residential,True,Incorporated
350 Elysian Fields Dr,Oakland,1379000,2210.0,12369.0,5.59683257918552,0,Oakland,RH-3,Suburban residential,True,Incorporated
9009 Bluford Ave,Whittier,839900,1396.0,6064.0,4.343839541547278,1,Whittier,SINGLE FAMILY RESIDENTIAL,Suburban residential,True,Incorporated
170 S Barbara Way,Anaheim,925000,1485.0,7347.0,4.947474747474748,0,Anaheim,RS-2,Suburban residential,True,Incorporated
18257 Palora St,Tarzana,1299950,1423.0,5616.0,3.9465917076598735,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
7418 Amigo Ave,Reseda,799990,1293.0,6252.0,4.835266821345708,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
12952 Aetna St,Valley Glen,1175000,1810.0,6058.0,3.3469613259668507,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1170 Cotter Way,Hayward,888000,1234.0,7400.0,5.996758508914101,1,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
1172 Pine St,Livermore,979000,1383.0,6000.0,4.3383947939262475,1,Livermore,Residential,Suburban residential,True,Incorporated
2508 El Paseo,Alhambra,849999,1156.0,6273.0,5.426470588235294,1,Alhambra,R-1,Suburban residential,True,Incorporated
6256 Hokett Way,San Jose,1339000,1409.0,6206.0,4.404542228530873,0,San Jose,R-1-8,Suburban residential,True,Incorporated
3877 Santa Clara Way,Livermore,985500,1485.0,5900.0,3.973063973063973,0,Livermore,Residential,Suburban residential,True,Incorporated
13024 Weddington St,Sherman Oaks,1499000,1606.0,8607.0,5.359277708592777,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
5629 Morton Way,San Jose,1458000,1852.0,6283.0,3.392548596112311,0,San Jose,R-1-8,Suburban residential,True,Incorporated
4244 Milton Way,Livermore,1498000,2210.0,9217.0,4.170588235294118,0,Livermore,Planned Development,Planned area,True,Incorporated
526 California St,El Segundo,1399000,1588.0,6389.0,4.023299748110831,0,El Segundo,Single-Family Residential,Suburban residential,True,Incorporated
4941 Rigoletto St,Woodland Hills,1685000,2009.0,9038.0,4.498755599800896,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
4751 Lincoln Ave,Oakland,825000,1174.0,8855.0,7.542589437819421,0,Oakland,RH-4,Suburban residential,True,Incorporated
812 Chico Dr,San Leandro,818000,1267.0,5035.0,3.973954222573007,0,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
13358 Blythe St,North Hollywood,989000,1636.0,7678.0,4.693154034229829,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
4545 Allott Ave,Sherman Oaks,1795000,1790.0,7776.0,4.34413407821229,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
8516 Callita St,San Gabriel,1225000,1276.0,5027.0,3.939655172413793,0,LAN,Single-Family Residence,Suburban residential,True,Incorporated
2050 Donald Dr,Moraga,1398800,1620.0,16553.0,10.2179012345679,0,Moraga,6-DUA,Suburban residential,True,Incorporated
1489 Burrell Ct,San Jose,1250000,1660.0,5104.0,3.0746987951807228,0,San Jose,R-1-8,Suburban residential,True,Incorporated
4525 Entrada Ct,Pleasanton,1695000,1690.0,8131.0,4.811242603550296,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
3758 Alzada Rd,Altadena,1450000,1582.0,12336.0,7.797724399494311,0,LAN,Single-Family Residence,Suburban residential,True,Incorporated
4251 Nicolet Ave,Fremont,1980000,2160.0,8265.0,3.826388888888889,1,Fremont,R-1-6,Suburban residential,True,Incorporated
12041 Hartsook St,Valley Village,1150000,1063.0,7802.0,7.3396048918156165,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
6620 Brennan Ave,West Hills,1126000,1570.0,7434.0,4.735031847133758,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
410 W Spazier Ave,Burbank,1399000,1241.0,6962.0,5.609991941982273,0,Burbank,(R-1-H) Residential Single Family Horse,Suburban residential,True,Incorporated
3480 Mandeville Canyon Rd,Los Angeles,1995000,1846.0,7963.0,4.3136511375948,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
30718 Knight Ct,Union City,1749000,2200.0,7225.0,3.284090909090909,0,Union City,Single Family Residential,Urban residential,True,Incorporated
2317 Trotter Way,Walnut Creek,1799000,1956.0,10769.0,5.50562372188139,0,Walnut Creek,PD,Planned area,True,Incorporated
17673 Dorson Ln,Castro Valley,800000,1234.0,6540.0,5.299837925445705,0,ALA,Single Family Residential,Suburban residential,True,Incorporated
4428 Doane St,Fremont,1499000,1441.0,5985.0,4.153365718251214,0,Fremont,R-1-6,Suburban residential,True,Incorporated
831 N Myers St,Burbank,1275000,1603.0,6824.0,4.257018091079226,1,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
1641 Trafalgar Pl,Westlake Village,1450000,1879.0,6899.0,3.6716338477913784,0,Thousand Oaks,RPD-4.5U,Suburban residential,True,Incorporated
14033 Oval Dr,Whittier,825000,1283.0,5952.0,4.639127045985971,0,LAN,Residential Agricultural,Suburban residential,True,Incorporated
10613 Woodstead Ave,Whittier,799000,1080.0,5913.0,5.475,0,Whittier,SINGLE FAMILY RESIDENTIAL,Suburban residential,True,Incorporated
1253 139th Ave,San Leandro,746000,1090.0,5150.0,4.724770642201835,0,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
517 Van Buren Pl,San Ramon,999000,1103.0,7200.0,6.527651858567543,1,San Ramon,ZM-RS-7,Suburban residential,True,Incorporated
17801 Lanark St,Reseda,999000,1542.0,6002.0,3.8923476005188067,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
11121 Kensington Rd,Los Alamitos,1595000,2283.0,8160.0,3.574244415243101,0,ORA,Single-Family Residence,Suburban residential,True,Incorporated
1903 S Primrose Ave,Alhambra,1280000,1784.0,6395.0,3.5846412556053813,0,Alhambra,R-1,Suburban residential,True,Incorporated
10133 Whitaker Ave,Granada Hills,1249900,1875.0,7991.0,4.261866666666666,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
10205 Fairgrove Ave,Tujunga,1400000,1843.0,6420.0,3.483450895279436,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2522 Lambert Ln,San Jose,2448000,2396.0,7700.0,3.2136894824707847,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1944 W Lullaby Ln,Anaheim,1249900,2008.0,7300.0,3.635458167330677,0,Anaheim,RS-2,Suburban residential,True,Incorporated
2016 W Oak St,Burbank,995000,910.0,6067.0,6.667032967032967,0,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
15841 Marlin Pl,Van Nuys,890000,1134.0,7257.0,6.3994708994708995,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1133 Tokay Cmn,Livermore,1469000,2050.0,8621.0,4.205365853658536,0,Livermore,Residential,Suburban residential,True,Incorporated
14821 S Denver Ave,Gardena,810000,1248.0,5674.0,4.546474358974359,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2013 Charlemagne Ave,Long Beach,919000,891.0,5838.0,6.552188552188552,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
3109 Robinette Ave,Baldwin Park,855000,1252.0,5125.0,4.093450479233227,1,Baldwin Park,R1,Suburban residential,True,Incorporated
24905 Skyland Rd,Los Gatos,1050000,1648.0,27181.0,16.493325242718445,0,SCR,Residential Agricultural,Rural residential,True,Incorporated
14621 Chalet Ln,Huntington Beach,1439000,1890.0,6000.0,3.1746031746031744,0,Huntington Beach,Residential Low Density,Suburban residential,True,Incorporated
1925 Vallecito Dr,San Pedro,1280000,1304.0,7321.0,5.6142638036809815,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1937 Pattiz Ave,Long Beach,1298000,1382.0,5535.0,4.00506512301013,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
