address,city,price,sqft,lot_sqft,lot_sqft_ratio,existing_adu,Jurisdiction,Description,New_Class,has_zoning,jurisdiction_type
5103 O Sullivan Dr,Los Angeles,799000,878.0,5205.0,5.928246013667426,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
35128 Cabrillo Dr,Fremont,1379999,1242.0,5800.0,4.669887278582931,0,Fremont,R-1-6,Suburban residential,True,Incorporated
1445 Raymond Ave,Glendale,1760000,1853.0,8163.0,4.405288720992984,0,Glendale,LOW DENSITY RESIDENTIAL FAR DIST I,Urban residential,True,Incorporated
10111 Dewey Dr,Garden Grove,1199000,1650.0,7681.0,4.655151515151515,0,Garden Grove,Single-Family Residential Zone,Suburban residential,True,Incorporated
1483 Florida Ave,San Jose,750000,1040.0,5777.0,5.554807692307692,0,San Jose,R-1-8,Suburban residential,True,Incorporated
7933 Kenyon Ave,Los Angeles,1500000,1286.0,5636.0,4.38258164852255,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2474 Stokes St,San Jose,1988000,2008.0,6270.0,3.1225099601593627,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1722 Bel Aire Dr,Glendale,999000,1574.0,9338.0,5.932655654383736,1,Glendale,LOW DENSITY RESIDENTIAL FAR DIST I,Urban residential,True,Incorporated
5659 Valley Glen Way,Los Angeles,1020000,1100.0,9996.0,9.087272727272728,1,LAN,Single-Family Residence,Suburban residential,True,Incorporated
4124 Ivar Ave,Rosemead,1250000,1641.0,8057.0,4.909811090798294,1,Rosemead, ,Urban residential,True,Incorporated
266 Vista Ave,San Jose,900000,1107.0,7000.0,6.323396567299007,0,SCL,R1,Suburban residential,True,Incorporated
172 Camino Sobrante,Orinda,1598000,1509.0,11050.0,7.322730284956925,0,Orinda,RL-20,Suburban residential,True,Incorporated
787 Macredes Ave,San Jose,899999,1354.0,5600.0,4.13589364844904,0,San Jose,R-1-8,Suburban residential,True,Incorporated
3975 Black Bird Way,Calabasas,895000,1131.0,5799.0,5.127320954907161,0,Calabasas,RS,Suburban residential,True,Incorporated
1105 Gardner Blvd,San Leandro,790000,1183.0,5093.0,4.305156382079459,0,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
13608 Doolittle Dr,San Leandro,799000,1146.0,8000.0,6.980802792321117,0,San Leandro,Residential Outer,Suburban residential,True,Incorporated
1244 S Leland Ave,West Covina,918000,1312.0,7556.0,5.759146341463414,1,West Covina,R-1,Suburban residential,True,Incorporated
111 N San Tomas Aquino Rd,Campbell,1375000,1247.0,6000.0,4.811547714514836,0,Campbell,Single-Family Residential,Suburban residential,True,Incorporated
3554 S Sycamore Ave,Los Angeles,1459000,1794.0,8076.0,4.501672240802676,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
343 Anna Maria St,Livermore,1200000,1683.0,6499.0,3.861556743909685,0,Livermore,Residential,Suburban residential,True,Incorporated
1327 Brampton Rd,Los Angeles,1298000,1560.0,10543.0,6.758333333333334,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1238 Orloff Dr,Pleasanton,1300000,1567.0,9370.0,5.979578813018507,1,Pleasanton,Single Family Residential-PUD,Planned area,True,Incorporated
12009 Dresden Pl,Granada Hills,1399999,2254.0,12397.0,5.5,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
31 Junewood Ct,Danville,2098000,2389.0,9375.0,3.924236082042696,0,Danville,Single Family Residential - Medium Density (3 to 5 Units per acre),Suburban residential,True,Incorporated
1175 N Mentor Ave,Pasadena,950000,1143.0,9617.0,8.413823272090989,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
4 LA Campana Rd,Orinda,2099000,2008.0,20400.0,10.159362549800797,1,Orinda,RL-20,Suburban residential,True,Incorporated
137 Bixby Dr,Milpitas,1399999,1462.0,6000.0,4.1039671682626535,0,Milipitas,Single Family Residential,Urban residential,True,Incorporated
32409 Elizabeth Way,Union City,1550000,1715.0,6060.0,3.5335276967930027,0,Union City,Single Family Residential,Suburban residential,True,Incorporated
354 Glenullen Dr,Pasadena,1098000,925.0,6044.0,6.534054054054054,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
5 S Beatty Pl,Newbury Park,939000,1350.0,6969.0,5.162222222222222,0,Thousand Oaks,R-1,Suburban residential,True,Incorporated
2780 Sussex Dr,San Jose,973000,1015.0,5131.0,5.055172413793104,1,San Jose,R-1-8,Suburban residential,True,Incorporated
1051 Woodminster Dr,San Jose,1290000,1657.0,5150.0,3.108026554013277,0,San Jose,R-1-8(PD),Suburban residential,True,Incorporated
17785 Manzanita Dr,Morgan Hill,949000,1462.0,17999.0,12.311217510259917,0,Morgan Hill,"RDL 20,000",Suburban residential,True,Incorporated
3 Gaucho Dr,Rolling Hills Estates,1995000,2254.0,12815.0,5.6854480922803905,0,Rolling Hills Estates, ,Suburban residential,True,Incorporated
1815 Bucknall Rd,Campbell,1950000,2319.0,8100.0,3.4928848641655885,0,Campbell,Medium Density Residential ,Multi-family,True,Incorporated
3558 S Muirfield Rd,Los Angeles,1575000,1920.0,6422.0,3.3447916666666666,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
30386 Rainbow View Dr,Agoura Hills,1150000,1470.0,7059.0,4.802040816326531,0,Agoura Hills,RS (5)7000,Suburban residential,True,Incorporated
3676 Vineyard Ave,Pleasanton,1299000,1451.0,6500.0,4.479669193659545,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
17475 Santa Lucia St,Fountain Valley,1299000,1795.0,7201.0,4.011699164345404,0,Fountain Valley,R1,Suburban residential,True,Incorporated
4333 Elmer Ave,North Hollywood,1199000,1006.0,6675.0,6.635188866799205,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
407 N Benton Way,Los Angeles,998000,1051.0,6257.0,5.95337773549001,1,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
205 Juniper St,Brea,1299000,1925.0,9516.0,4.943376623376623,0,Brea,R-1,Suburban residential,True,Incorporated
1963 Shenandoah Ave,Milpitas,1695000,1900.0,6612.0,3.48,0,Milipitas,Single Family Residential,Urban residential,True,Incorporated
1980 Foxworthy Ave,San Jose,998000,1560.0,5828.0,3.735897435897436,0,San Jose,R-1-8,Suburban residential,True,Incorporated
2024 N Kenwood St,Burbank,1350000,2143.0,6749.0,3.149323378441437,0,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
2565 Estella Dr,Santa Clara,2798000,2449.0,9506.0,3.8815843201306657,0,Santa Clara,R1-8L,Suburban residential,True,Incorporated
824 Buchser Way,San Jose,1848800,1581.0,7040.0,4.452877925363694,0,San Jose,R-1-8,Suburban residential,True,Incorporated
5526 Ryland Ave,Temple City,988000,1180.0,5615.0,4.758474576271187,0,Temple City,R1,Suburban residential,True,Incorporated
7252 Tyrone Ave,Van Nuys,979000,1600.0,6762.0,4.22625,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
241 Belaire Ct,Danville,1595000,2197.0,8000.0,3.6413290851160673,0,Danville,Single Family Residential - Medium Density (3 to 5 Units per acre),Suburban residential,True,Incorporated
1563 150th Ave,San Leandro,849000,1241.0,5510.0,4.439967767929089,1,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
13621 Erwin St,Van Nuys,1485000,1884.0,12071.0,6.4071125265392785,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
110 Santa Rosa Pl,San Ramon,1499999,2448.0,24750.0,10.110294117647058,0,San Ramon,ZM-RS-10,Suburban residential,True,Incorporated
5532 Purdue Pl,San Jose,1988000,1919.0,6500.0,3.3871808233454925,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1265 N Harvard Blvd,Los Angeles,1000000,1488.0,6503.0,4.370295698924731,0,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
168 Park Dartmouth Pl,San Jose,1560000,2084.0,6760.0,3.2437619961612283,0,San Jose,R-1-8(PD),Suburban residential,True,Incorporated
3932 Hill St,Huntington Park,750000,942.0,6378.0,6.770700636942675,0,Huntington Park, ,Urban residential,True,Incorporated
4201 Don Diablo Dr,Los Angeles,1459000,1640.0,8105.0,4.942073170731708,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
519 Longwood Ct,Hayward,925000,1511.0,9991.0,6.6121773659827925,1,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
2911 Walker Lee Dr,Rossmoor,1799000,2254.0,8010.0,3.5536823425022184,0,ORA,Single-Family Residence,Suburban residential,True,Incorporated
181 N Monterey Rd,Orange,1895000,2237.0,8250.0,3.6879749664729546,0,Orange,Single Family Res. 6000 sq ft,Suburban residential,True,Incorporated
2252 Verde Oak Dr,Los Angeles,1547000,1552.0,9635.0,6.208118556701031,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
342 Clarke Ave,Livermore,997888,1515.0,6000.0,3.9603960396039604,0,Livermore,Residential,Suburban residential,True,Incorporated
3113 Maple Ave,Fullerton,898000,1288.0,7245.0,5.625,0,Fullerton,"R-1-7.2 One-Family Residential (7,200 SF min. lot size)",Suburban residential,True,Incorporated
2717 E Meadowlark Dr,Union City,1320000,1392.0,7086.0,5.0905172413793105,1,Union City,Single Family Residential,Suburban residential,True,Incorporated
2147 Pattiz Ave,Long Beach,1295000,2082.0,9100.0,4.370797310278578,1,Long Beach,R-1-N,Suburban residential,True,Incorporated
888 Laguna St,Livermore,1849000,2341.0,7135.0,3.047842802221273,1,Livermore,Residential,Suburban residential,True,Incorporated
36302 Frobisher Dr,Fremont,1464888,1654.0,8459.0,5.114268440145103,1,Fremont,R-1-6,Suburban residential,True,Incorporated
17642 Calvert St,Encino,1349900,1611.0,5902.0,3.6635630043451273,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
156 Dogwood Pl,San Ramon,830000,1165.0,5400.0,4.635193133047211,0,San Ramon,ZM-RS-6,Suburban residential,True,Incorporated
20162 S New Britain Ln,Huntington Beach,1825000,1978.0,7062.0,3.570273003033367,0,Huntington Beach,Residential Low Density,Suburban residential,True,Incorporated
22317 Madison St,Torrance,1455000,1618.0,5002.0,3.091470951792336,0,Torrance,R1,Suburban residential,True,Incorporated
3204 N Beachwood Dr,Los Angeles,2195000,2256.0,11238.0,4.9813829787234045,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
1376 Vintner Way,Pleasanton,1489000,1584.0,6818.0,4.304292929292929,0,Pleasanton,Single Family Residential,Suburban residential,True,Incorporated
860 N 19th St,San Jose,1490000,1559.0,12776.0,8.194996792815907,0,San Jose,R-1-8,Suburban residential,True,Incorporated
1105 Fairview Dr,La Canada Flintridge,2495000,2487.0,9126.0,3.669481302774427,0,La Canada Flintridge,R-1-10000,Suburban residential,True,Incorporated
15129 Fonthill Ave,Lawndale,825000,1081.0,5252.0,4.858464384828862,0,LAN,Single-Family Residence,Suburban residential,True,Incorporated
168 Albatross Ave,Livermore,950000,1155.0,6050.0,5.238095238095238,0,Livermore,Residential,Suburban residential,True,Incorporated
510 Hargrave St,Inglewood,1100000,1228.0,7509.0,6.114820846905538,1,Inglewood,RES LIMITED MULTI FAMILY,Multi-family,True,Incorporated
8129 Radford Ave,North Hollywood,1500000,2230.0,6794.0,3.0466367713004483,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2611 Quail Ct,Union City,1350000,1392.0,6840.0,4.913793103448276,0,Union City,Single Family Residential,Suburban residential,True,Incorporated
5953 Bellflower Dr,Newark,1599888,1560.0,7245.0,4.644230769230769,0,Newark,Low Density Residential - 7000 District,Suburban residential,True,Incorporated
13929 Highlander Rd,La Mirada,1520000,2464.0,7412.0,3.008116883116883,0,La Mirada, ,Suburban residential,True,Incorporated
2798 Redwing Cir,Costa Mesa,2295000,2301.0,9100.0,3.9548022598870056,0,Costa Mesa,R1,Suburban residential,True,Incorporated
26584 Underwood Ave,Hayward,888000,1158.0,5130.0,4.430051813471502,1,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
17277 Via Alamitos,San Lorenzo,775000,1211.0,5292.0,4.369942196531792,0,ALA,Single Family Residential,Suburban residential,True,Incorporated
3801 Sutro Ave,Los Angeles,1099000,1530.0,5409.0,3.5352941176470587,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
1563 Dorcey Ln,San Jose,2198000,1900.0,8250.0,4.342105263157895,0,San Jose,A(PD),Planned area,True,Incorporated
1875 Willow Ave,San Leandro,999800,1576.0,8260.0,5.241116751269035,0,San Leandro,Residential Single-Family,Suburban residential,True,Incorporated
7771 12th St,Westminster,1248888,1465.0,8100.0,5.5290102389078495,1,Westminster,R4 (Multiple-Family Residential 15 to 18 Units/Acre) District,Multi-family,True,Incorporated
1504 N Lima St,Burbank,1200000,1385.0,6922.0,4.9978339350180505,0,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
1429 Columbus Ave,Livermore,1186000,1445.0,6031.0,4.173702422145329,0,Livermore,Residential,Suburban residential,True,Incorporated
17602 Norwalk Blvd,Artesia,899000,1308.0,5266.0,4.025993883792049,0,Artesia, ,Suburban residential,True,Incorporated
1 Vista Del Moraga,Orinda,1245000,1450.0,13939.0,9.613103448275861,0,Orinda,RL-20,Suburban residential,True,Incorporated
12947 Arabella Pl,Cerritos,1229000,1789.0,5569.0,3.112912241475685,0,Cerritos,Single-Family Residential,Suburban residential,True,Incorporated
1615 Fox Springs Cir,Thousand Oaks,1099000,1823.0,6359.0,3.4882062534284146,0,Thousand Oaks,RPD-0.76U-OS,Suburban residential,True,Incorporated
865 Old Canyon Rd,Fremont,1149000,1006.0,8526.0,8.475149105367793,0,Fremont,R-1-6(H-I),Suburban residential,True,Incorporated
1271 Camino Tassajara,Danville,1599000,1595.0,9375.0,5.877742946708464,0,Danville,Single Family Residential - Medium Density (3 to 5 Units per acre),Suburban residential,True,Incorporated
11356 Stonecress Ave,Fountain Valley,1595000,1820.0,6500.0,3.5714285714285716,0,Fountain Valley,R1,Suburban residential,True,Incorporated
6175 Oneida Dr,San Jose,1388888,1409.0,6018.0,4.27111426543648,0,San Jose,R-1-8,Suburban residential,True,Incorporated
206 N Hobart Blvd,Los Angeles,1288000,1740.0,6585.0,3.7844827586206895,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
5313 W Ballast Ave,Santa Ana,1059990,1396.0,6039.0,4.3259312320916905,0,Santa Ana,Single-Family Residence,Suburban residential,True,Incorporated
11125 Glenoaks Blvd,Pacoima,1300000,1282.0,7542.0,5.8829953198127924,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
14235 Greenleaf St,Sherman Oaks,2495000,2327.0,10758.0,4.623119896862914,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
20548 Stagg St,Winnetka,999000,1462.0,9543.0,6.527359781121751,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
4996 Eberly Dr,San Jose,1800000,2279.0,13340.0,5.853444493198771,1,San Jose,R-1-5,Suburban residential,True,Incorporated
300 C St,Fillmore,1130000,1600.0,11325.0,7.078125,0,Fillmore,R-L,Suburban residential,True,Incorporated
4000 Barryknoll Dr,Los Angeles,1299000,1655.0,7374.0,4.455589123867069,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
5141 Don Pio Dr,Woodland Hills,1450000,1681.0,5872.0,3.4931588340273647,0,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
2944 Mayfield Ave,La Crescenta,1000000,1089.0,5843.0,5.365472910927457,1,LAN,Single-Family Residence,Suburban residential,True,Incorporated
2211 Arrowhead Dr,Oakland,849000,1363.0,9316.0,6.83492296404989,0,Oakland,RH-3,Suburban residential,True,Incorporated
6307 Hematite Ct,San Jose,2288000,2246.0,8550.0,3.806767586821015,0,San Jose,A(PD),Planned area,True,Incorporated
